,movie score,budget,gross,runtime,votes,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Total Nominations,Total Awards
0,7.1,30000000,31743332,79,117268,6.864285714285715,7.1,7.1,6.746931407942238,6.2540350877192985,6.216789819376035,6.8394736842105255,2.0,0.0
1,6.8,35000000,81159365,123,201705,6.875,5.957142857142856,6.199999999999998,6.756321839080459,6.2540350877192985,6.216789819376035,6.315740740740742,1.0,0.0
2,5.0,1500000,779820,102,11945,5.9,5.666666666666668,5.666666666666668,5.68700361010831,6.453213443396231,6.6606017191977145,5.0,1.0,0.0
3,7.5,40000000,95001343,128,71006,7.5,6.74,6.630000000000001,7.040389972144843,6.2540350877192985,6.216789819376035,6.3843537414965965,1.0,0.0
4,5.8,13000000,16574731,93,28791,6.44,5.8,5.8,6.715720221606655,6.453213443396231,6.216789819376035,5.8,1.0,0.0
5,7.7,65000000,210614939,117,648211,6.5299999999999985,7.057142857142857,6.666666666666668,6.1060856498873015,6.453213443396231,6.216789819376035,6.3843537414965965,1.0,0.0
6,6.2,0,99603,110,14114,6.6099999999999985,7.25,7.225,6.715720221606655,6.453213443396231,6.6606017191977145,6.796296296296298,1.0,0.0
7,6.8,25000000,71985628,104,226504,6.615384615384617,6.7799999999999985,6.8,5.68700361010831,6.2540350877192985,6.216789819376035,5.7263157894736825,1.0,0.0
8,5.8,0,5979011,95,3154,7.0294117647058805,5.8,5.75,6.715720221606655,6.453213443396231,6.216789819376035,5.34,1.0,0.0
9,5.8,200000000,166112167,158,303766,6.615384615384617,6.227272727272728,5.766666666666667,6.1060856498873015,6.2540350877192985,6.216789819376035,6.315740740740742,1.0,0.0
10,7.5,12000000,261481,129,44039,7.42,7.399999999999999,7.242857142857143,6.715720221606655,6.453213443396231,6.95128205128205,6.75,1.0,0.0
11,7.2,0,1268760,99,40959,7.2666666666666675,7.2,7.2,6.1060856498873015,6.453213443396231,6.6606017191977145,7.2,1.0,0.0
12,7.6,0,441863,96,1840,6.38,7.6,7.6,6.715720221606655,6.2540350877192985,6.216789819376035,7.6,1.0,0.0
13,7.4,0,3272600,133,4028,7.4,6.933333333333334,6.300000000000002,6.715720221606655,6.453213443396231,6.216789819376035,7.4,3.0,1.0
14,4.8,1000000,3478370,113,2415,5.5,4.8,4.8,6.126666666666666,6.2540350877192985,6.216789819376035,6.1944444444444455,1.0,0.0
15,6.6,5600000,27766,85,59366,6.6,6.0,6.0,5.68700361010831,6.453213443396231,7.044642857142858,5.8,1.0,0.0
16,5.0,6400000,8973,80,28103,5.0,5.0,5.0,5.68700361010831,6.453213443396231,7.044642857142858,5.8,1.0,0.0
17,6.6,0,32945797,106,25330,6.6,5.65,5.566666666666667,6.1657692307692304,6.143007360672983,6.216789819376035,6.396357615894037,1.0,0.0
18,7.2,0,299090,102,1831,7.4,7.2,7.2,6.1657692307692304,6.2540350877192985,7.044642857142858,7.2,0.0,0.0
19,6.4,25000000,39246734,104,57406,6.2041666666666675,5.825,6.475,6.1657692307692304,6.143007360672983,6.216789819376035,6.4,0.0,0.0
20,5.5,62000000,25857987,93,114477,6.612499999999999,6.025,5.92,6.1060856498873015,6.2540350877192985,6.216789819376035,6.304247104247107,0.0,0.0
21,7.2,15000000,71897215,104,208655,5.8888888888888875,7.2,7.2,6.715720221606655,6.2540350877192985,6.216789819376035,6.304247104247107,1.0,0.0
22,7.2,30000000,38176108,97,244103,6.65,6.0,6.35,6.1657692307692304,6.2540350877192985,6.216789819376035,6.33435114503817,1.0,0.0
23,6.1,0,203373,100,20229,6.12,6.1,6.5,6.1657692307692304,6.2540350877192985,6.216789819376035,6.3,1.0,0.0
24,5.1,105000000,94784201,109,114171,5.675000000000002,6.227272727272728,5.766666666666667,6.1060856498873015,6.2540350877192985,6.216789819376035,6.3843537414965965,1.0,0.0
25,5.7,75000000,136189294,103,81872,6.519999999999999,6.1,5.866666666666667,6.354846938775506,6.438095238095237,6.216789819376035,6.330392156862747,1.0,0.0
26,4.8,85000000,66957026,100,28524,6.519999999999999,6.2333333333333325,5.866666666666667,6.354846938775506,6.438095238095237,6.216789819376035,4.8,2.0,0.0
27,6.5,9000000,71962800,103,110032,6.25,6.066666666666666,5.9833333333333325,6.1060856498873015,6.453213443396231,6.853356890459359,6.396357615894037,1.0,0.0
28,5.6,22000000,12232937,108,24250,5.15,5.66,5.6,6.1060856498873015,6.2540350877192985,6.216789819376035,5.422222222222223,1.0,0.0
29,8.1,20000000,56671993,134,503763,6.933333333333334,7.633333333333333,6.566666666666666,7.040389972144843,6.453213443396231,6.216789819376035,6.042424242424243,15.0,3.0
30,7.6,18000000,18335230,94,299503,6.6,7.281818181818181,7.6,6.354846938775506,6.453213443396231,6.216789819376035,7.066666666666666,9.0,0.0
31,7.6,6000000,802524,141,54145,7.699999999999998,6.9750000000000005,7.6,6.1060856498873015,6.453213443396231,6.983823529411764,7.6,1.0,0.0
32,6.1,37000000,57231747,98,132486,6.116666666666667,6.14,6.25,6.1657692307692304,6.2540350877192985,6.216789819376035,5.448484848484851,1.0,0.0
33,7.3,50000000,52853219,144,82656,7.199999999999998,6.6083333333333325,7.3,6.1060856498873015,6.453213443396231,7.3,6.304247104247107,1.0,0.0
34,6.3,4000000,9134,93,26332,6.3,5.949999999999998,6.3,5.68700361010831,6.453213443396231,6.216789819376035,6.3,1.0,0.0
35,7.4,0,121390,93,15418,7.4,7.4,7.4,6.756321839080459,6.959195402298849,6.853356890459359,7.4,1.0,0.0
36,6.5,47000000,7191399,154,24155,6.736363636363635,6.915789473684211,6.5,6.354846938775506,6.2540350877192985,6.853356890459359,6.9,0.0,0.0
37,6.1,60000000,24403552,120,44327,6.489473684210527,6.3,6.3,6.1060856498873015,6.453213443396231,6.216789819376035,6.145348837209303,1.0,0.0
38,6.6,52000000,36883539,102,116840,6.518181818181818,6.745454545454544,6.62,6.1060856498873015,6.2540350877192985,6.216789819376035,6.2666666666666675,1.0,0.0
39,6.4,20000000,64167069,102,155399,6.19,6.425,6.0,6.1657692307692304,6.2540350877192985,6.216789819376035,6.145348837209303,1.0,0.0
40,5.7,0,2567099,93,3573,5.7,5.6000000000000005,5.7,6.1657692307692304,6.143007360672983,6.216789819376035,5.6,1.0,0.0
41,6.8,0,4432981,96,27948,6.8,6.8,6.8,6.1657692307692304,6.453213443396231,6.853356890459359,6.8,1.0,0.0
42,6.5,0,11114000,104,16403,6.5,6.3,6.3,6.1657692307692304,6.453213443396231,6.216789819376035,6.242857142857143,1.0,0.0
43,5.9,76000000,127154901,107,211309,5.942857142857143,6.4,5.925,6.1060856498873015,6.2540350877192985,6.216789819376035,6.396357615894037,1.0,0.0
