,budget,company,country,director,genre,gross,film,rating,released,runtime,score,star,votes,writer,year,Unnamed: 15,Oscar Winning Category,Oscar Winner,winner
0,0.0,Little Bear,USA,Bertrand Tavernier,Drama,3272600.0,'Round Midnight,R,1/17/86,133.0,7.4,Dexter Gordon,4028.0,David Rayfiel,1986.0,,MUSIC (Original Score),Herbie Hancock,True
1,20000000.0,Regency Enterprises,USA,Steve McQueen,Biography,56671993.0,12 Years a Slave,R,2/21/86,134.0,8.1,Chiwetel Ejiofor,503763.0,John Ridley,2013.0,,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,True
2,20000000.0,Regency Enterprises,USA,Steve McQueen,Biography,56671993.0,12 Years a Slave,R,2/21/86,134.0,8.1,Chiwetel Ejiofor,503763.0,John Ridley,2013.0,,BEST PICTURE,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",True
3,20000000.0,Regency Enterprises,USA,Steve McQueen,Biography,56671993.0,12 Years a Slave,R,2/21/86,134.0,8.1,Chiwetel Ejiofor,503763.0,John Ridley,2013.0,,WRITING (Adapted Screenplay),Screenplay by John Ridley,True
4,41000000.0,Imagine Entertainment,USA,Curtis Hanson,Drama,116724075.0,8 Mile,R,6/20/86,110.0,7.0,Eminem,204990.0,Scott Silver,2002.0,,MUSIC (Original Song),"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem",True
5,58000000.0,Universal Pictures,USA,Ron Howard,Biography,170742341.0,A Beautiful Mind,PG-13,7/25/86,135.0,8.2,Russell Crowe,681379.0,Akiva Goldsman,2001.0,,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,True
6,58000000.0,Universal Pictures,USA,Ron Howard,Biography,170742341.0,A Beautiful Mind,PG-13,7/25/86,135.0,8.2,Russell Crowe,681379.0,Akiva Goldsman,2001.0,,DIRECTING,Ron Howard,True
7,58000000.0,Universal Pictures,USA,Ron Howard,Biography,170742341.0,A Beautiful Mind,PG-13,7/25/86,135.0,8.2,Russell Crowe,681379.0,Akiva Goldsman,2001.0,,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",True
8,58000000.0,Universal Pictures,USA,Ron Howard,Biography,170742341.0,A Beautiful Mind,PG-13,7/25/86,135.0,8.2,Russell Crowe,681379.0,Akiva Goldsman,2001.0,,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Akiva Goldsman,True
9,200000000.0,Walt Disney Pictures,USA,Robert Zemeckis,Animation,137855863.0,A Christmas Carol,PG,8/1/86,96.0,6.8,Jim Carrey,80819.0,Robert Zemeckis,2009.0,,SHORT SUBJECT (Animated),"Richard Williams, Producer",True
10,7500000.0,Metro-Goldwyn-Mayer (MGM),UK,Charles Crichton,Comedy,63493712.0,A Fish Called Wanda,R,8/22/86,108.0,7.6,John Cleese,114144.0,John Cleese,1988.0,,ACTOR IN A SUPPORTING ROLE,Kevin Kline,True
11,11000000.0,Fox Searchlight Pictures,UK,Michael Hoffman,Comedy,16071990.0,A Midsummer Night's Dream,PG-13,10/24/86,116.0,6.5,Kevin Kline,22127.0,William Shakespeare,1999.0,,CINEMATOGRAPHY,Hal Mohr,True
12,11000000.0,Fox Searchlight Pictures,UK,Michael Hoffman,Comedy,16071990.0,A Midsummer Night's Dream,PG-13,10/24/86,116.0,6.5,Kevin Kline,22127.0,William Shakespeare,1999.0,,FILM EDITING,Ralph Dawson,True
13,500000.0,Asghar Farhadi Productions,Iran,Asghar Farhadi,Drama,7098492.0,A Separation,PG-13,11/26/86,123.0,8.4,Payman Maadi,170427.0,Asghar Farhadi,2011.0,,FOREIGN LANGUAGE FILM,Iran,True
14,6000000.0,JVC Entertainment Networks,USA,Paul Schrader,Drama,6302154.0,Affliction,R,5/8/87,114.0,7.0,Nick Nolte,12633.0,Russell Banks,1997.0,,ACTOR IN A SUPPORTING ROLE,James Coburn,True
15,28000000.0,Walt Disney Pictures,USA,Ron Clements,Animation,217350219.0,Aladdin,G,6/26/87,90.0,8.0,Scott Weinger,287068.0,Ron Clements,1992.0,,MUSIC (Original Score),Alan Menken,True
16,28000000.0,Walt Disney Pictures,USA,Ron Clements,Animation,217350219.0,Aladdin,G,6/26/87,90.0,8.0,Scott Weinger,287068.0,Ron Clements,1992.0,,MUSIC (Original Song),Music by Alan Menken; Lyric by Tim Rice,True
17,200000000.0,Walt Disney Pictures,USA,Tim Burton,Adventure,334191110.0,Alice in Wonderland,PG,7/24/87,108.0,6.5,Mia Wasikowska,331389.0,Linda Woolverton,2010.0,,ART DIRECTION,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,True
18,200000000.0,Walt Disney Pictures,USA,Tim Burton,Adventure,334191110.0,Alice in Wonderland,PG,7/24/87,108.0,6.5,Mia Wasikowska,331389.0,Linda Woolverton,2010.0,,COSTUME DESIGN,Colleen Atwood,True
19,18500000.0,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248.0,Aliens,R,7/31/87,137.0,8.4,Sigourney Weaver,540152.0,James Cameron,1986.0,,SOUND EFFECTS EDITING,Don Sharpe,True
20,18500000.0,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248.0,Aliens,R,7/31/87,137.0,8.4,Sigourney Weaver,540152.0,James Cameron,1986.0,,VISUAL EFFECTS,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson",True
21,55000000.0,Columbia Pictures Corporation,Germany,Steven Zaillian,Drama,7221458.0,All the King's Men,PG-13,8/21/87,128.0,6.2,Sean Penn,21583.0,Steven Zaillian,2006.0,,ACTOR,Broderick Crawford,True
22,55000000.0,Columbia Pictures Corporation,Germany,Steven Zaillian,Drama,7221458.0,All the King's Men,PG-13,8/21/87,128.0,6.2,Sean Penn,21583.0,Steven Zaillian,2006.0,,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,True
23,55000000.0,Columbia Pictures Corporation,Germany,Steven Zaillian,Drama,7221458.0,All the King's Men,PG-13,8/21/87,128.0,6.2,Sean Penn,21583.0,Steven Zaillian,2006.0,,BEST MOTION PICTURE,Robert Rossen Productions,True
24,60000000.0,Columbia Pictures,USA,Cameron Crowe,Adventure,32534850.0,Almost Famous,R,9/4/87,122.0,7.9,Billy Crudup,220062.0,Cameron Crowe,2000.0,,WRITING (Screenplay Written Directly for the Screen),Written by Cameron Crowe,True
25,15000000.0,DreamWorks,USA,Sam Mendes,Drama,130096601.0,American Beauty,R,10/2/87,122.0,8.4,Kevin Spacey,899755.0,Alan Ball,1999.0,,ACTOR IN A LEADING ROLE,Kevin Spacey,True
26,15000000.0,DreamWorks,USA,Sam Mendes,Drama,130096601.0,American Beauty,R,10/2/87,122.0,8.4,Kevin Spacey,899755.0,Alan Ball,1999.0,,CINEMATOGRAPHY,Conrad L. Hall,True
27,15000000.0,DreamWorks,USA,Sam Mendes,Drama,130096601.0,American Beauty,R,10/2/87,122.0,8.4,Kevin Spacey,899755.0,Alan Ball,1999.0,,DIRECTING,Sam Mendes,True
28,15000000.0,DreamWorks,USA,Sam Mendes,Drama,130096601.0,American Beauty,R,10/2/87,122.0,8.4,Kevin Spacey,899755.0,Alan Ball,1999.0,,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",True
29,15000000.0,DreamWorks,USA,Sam Mendes,Drama,130096601.0,American Beauty,R,10/2/87,122.0,8.4,Kevin Spacey,899755.0,Alan Ball,1999.0,,WRITING (Screenplay Written Directly for the Screen),Alan Ball,True
30,58800000.0,Warner Bros.,USA,Clint Eastwood,Action,350126372.0,American Sniper,R,10/30/87,133.0,7.3,Bradley Cooper,362949.0,Jason Hall,2014.0,,SOUND EDITING,Alan Robert Murray and Bub Asman,True
