,budget,company,country,director,genre,gross,film,rating,released,runtime,movie score,star,votes,writer,year,Oscar Award Count,Oscar Nominations,star avg score,director avg score,writer avg score,genre avg score,rating avg score,country avg score,company avg score,Golden Globes Awards,Golden Globes Nominations,Total Nominations,Total Awards
0,30000000,Focus Features,USA,Shane Acker,Animation,31743332,9,PG-13,1987,79,7.1,Elijah Wood,117268,Pamela Pettler,2009,0.0,1.0,6.864285714285715,7.1,7.1,6.746931407942237,6.254035087719299,6.216789819376035,6.8394736842105255,0.0,1.0,2.0,0.0
1,35000000,Columbia Pictures,USA,Robert Luketic,Crime,81159365,21,PG-13,1988,123,6.8,Jim Sturgess,201705,Peter Steinfeld,2008,0.0,0.0,6.875,5.957142857142856,6.199999999999999,6.756321839080459,6.254035087719299,6.216789819376035,6.315740740740743,0.0,1.0,1.0,0.0
2,1500000,Bow and Arrow Entertainment,UK,Rob Zombie,Horror,779820,31,R,1994,102,5.0,Malcolm McDowell,11945,Rob Zombie,2016,0.0,0.0,5.9,5.666666666666667,5.666666666666667,5.68700361010831,6.453213443396231,6.660601719197714,5.0,0.0,1.0,1.0,0.0
3,40000000,Warner Bros.,USA,Brian Helgeland,Biography,95001343,42,PG-13,1995,128,7.5,Chadwick Boseman,71006,Brian Helgeland,2013,0.0,0.0,7.5,6.74,6.630000000000001,7.040389972144843,6.254035087719299,6.216789819376035,6.3843537414965965,0.0,1.0,1.0,0.0
4,13000000,Dollface,USA,Mark Christopher,Drama,16574731,54,R,1999,93,5.8,Ryan Phillippe,28791,Mark Christopher,1998,0.0,0.0,6.44,5.8,5.8,6.715720221606655,6.453213443396231,6.216789819376035,5.8,0.0,1.0,1.0,0.0
5,65000000,Warner Bros.,USA,Zack Snyder,Action,210614939,300,R,2006,117,7.7,Gerard Butler,648211,Zack Snyder,2006,0.0,0.0,6.529999999999999,7.057142857142858,6.666666666666667,6.1060856498873015,6.453213443396231,6.216789819376035,6.3843537414965965,0.0,1.0,1.0,0.0
6,0,BBC Films,UK,Fernando Meirelles,Drama,99603,360,R,2011,110,6.2,Rachel Weisz,14114,Peter Morgan,2011,0.0,0.0,6.609999999999999,7.25,7.2250000000000005,6.715720221606655,6.453213443396231,6.660601719197714,6.796296296296297,0.0,1.0,1.0,0.0
7,25000000,Dimension Films,USA,Mikael Håfström,Horror,71985628,1408,PG-13,1/10/86,104,6.8,John Cusack,226504,Matt Greenberg,2007,0.0,0.0,6.615384615384617,6.779999999999999,6.8,5.68700361010831,6.254035087719299,6.216789819376035,5.7263157894736825,0.0,1.0,1.0,0.0
8,0,Atlantic Entertainment Group,USA,Ernest Thompson,Drama,5979011,1969,R,1/17/86,95,5.8,Robert Downey Jr.,3154,Ernest Thompson,1988,0.0,0.0,7.029411764705881,5.8,5.75,6.715720221606655,6.453213443396231,6.216789819376035,5.34,0.0,1.0,1.0,0.0
9,200000000,Columbia Pictures,USA,Roland Emmerich,Action,166112167,2012,PG-13,1/17/86,158,5.8,John Cusack,303766,Roland Emmerich,2009,0.0,0.0,6.615384615384617,6.2272727272727275,5.766666666666666,6.1060856498873015,6.254035087719299,6.216789819376035,6.315740740740743,0.0,1.0,1.0,0.0
10,12000000,Jet Tone Films,Hong Kong,Kar-Wai Wong,Drama,261481,2046,R,1/17/86,129,7.5,Tony Chiu-Wai Leung,44039,Kar-Wai Wong,2004,0.0,0.0,7.42,7.3999999999999995,7.242857142857143,6.715720221606655,6.453213443396231,6.951282051282049,6.75,0.0,1.0,1.0,0.0
